gene	cluster
AT5G12110	UU
AT5G13150	UU
AT5G13190	UU
AT5G13200	UU
AT5G13880	UU
AT5G13920	UU
AT5G15250	UU
AT5G15350	UU
AT5G15440	UU
AT5G15450	UU
AT5G15480	UU
AT5G15860	UU
AT5G15960	UU
AT5G16600	UU
AT5G17350	UU
AT5G17400	UU
AT5G18040	UU
AT5G18065	UU
AT5G18340	UU
AT5G19875	UU
AT5G22060	UU
AT5G22670	UU
AT5G23350	UU
AT5G23380	UU
AT5G23480	UU
AT5G24210	UU
AT5G24660	UU
AT5G25140	UU
AT5G25280	UU
AT5G25450	UU
AT5G27420	UU
AT5G27660	UU
AT5G28540	UU
AT5G35320	UU
AT5G35460	UU
AT5G35735	UU
AT5G36290	UU
AT5G37340	UU
AT5G37350	UU
AT5G37670	UU
AT5G37960	UU
AT5G38895	UU
AT5G40600	UU
AT5G40645	UU
AT5G41620	UU
AT5G41750	UU
AT5G41761	UU
AT5G42020	UU
AT5G42150	UU
AT5G42220	UU
AT5G42380	UU
AT5G42470	UU
AT5G42965	UU
AT5G43160	UU
AT5G43170	UU
AT5G43300	UU
AT5G43420	UU
AT5G43620	UU
AT5G43950	UU
AT5G44005	UU
AT5G45230	UU
AT5G45340	UU
AT5G45630	UU
AT5G46170	UU
AT5G46210	UU
AT5G46417	UU
AT5G46710	UU
AT5G47060	UU
AT5G47120	UU
AT5G47160	UU
AT5G47420	UU
AT5G47610	UU
AT5G47830	UU
AT5G48250	UU
AT5G48570	UU
AT5G49370	UU
AT5G49560	UU
AT5G49920	UU
AT5G51105	UU
AT5G51190	UU
AT5G51430	UU
AT5G51440	UU
AT5G51630	UU
AT5G51740	UU
AT5G52630	UU
AT5G52640	UU
AT5G52750	UU
AT5G52760	UU
AT5G53400	UU
AT5G53680	UU
AT5G54165	UU
AT5G54170	UU
AT5G54860	UU
AT5G54940	UU
AT5G54960	UU
AT5G55970	UU
AT5G56010	UU
AT5G56030	UU
AT5G56300	UU
AT5G56600	UU
AT5G56630	UU
AT5G56750	UU
AT5G57100	UU
AT5G57123	UU
AT5G57260	UU
AT5G57510	UU
AT5G57560	UU
AT5G58070	UU
AT5G58110	UU
AT5G58430	UU
AT5G58590	UU
AT5G58770	UU
AT5G58780	UU
AT5G58787	UU
AT5G59220	UU
AT5G59720	UU
AT5G59820	UU
AT5G60610	UU
AT5G60800	UU
AT5G61190	UU
AT5G61510	UU
AT5G61600	UU
AT5G61790	UU
AT5G62020	UU
AT5G62090	UU
AT5G62620	UU
AT5G63130	UU
AT5G64180	UU
AT5G64310	UU
AT5G64400	UU
AT5G64401	UU
AT5G64510	UU
AT5G64750	UU
AT5G64950	UU
AT5G65300	UU
AT5G65490	UU
AT5G65900	UU
AT5G65920	UU
AT5G66070	UU
AT5G66090	UU
AT5G66620	UU
AT5G66880	UU
AT5G66890	UU
AT5G67060	UU
AT5G67300	UU
AT5G67310	UU
ATMG00010	UU
ATMG00040	UU
ATMG00050	UU
ATMG00110	UU
ATMG00130	UU
ATMG00140	UU
ATMG00630	UU
ATMG00640	UU
ATMG00660	UU
ATMG00665	UU
ATMG00680	UU
ATMG00690	UU
ATMG00810	UU
ATMG01010	UU
ATMG01030	UU
ATMG01090	UU
ATMG01130	UU
ATMG01170	UU
ATMG01200	UU
ATMG01220	UU
ATMG01280	UU
ATMG01410	UU
AT1G01120	DD
AT1G01130	DD
AT1G01200	DD
AT1G01420	DD
AT1G02650	DD
AT1G04360	DD
AT1G04660	DD
AT1G05420	DD
AT1G05550	DD
AT1G06000	DD
AT1G06090	DD
AT1G06360	DD
AT1G06540	DD
AT1G06980	DD
AT1G08165	DD
AT1G09650	DD
AT1G10790	DD
AT1G11112	DD
AT1G11700	DD
AT1G11710	DD
AT1G12260	DD
AT1G12320	DD
AT1G12380	DD
AT1G12460	DD
AT1G12500	DD
AT1G14390	DD
AT1G14430	DD
AT1G14687	DD
AT1G14920	DD
AT1G15260	DD
AT1G16390	DD
AT1G16490	DD
AT1G17030	DD
AT1G18810	DD
AT1G22600	DD
AT1G22900	DD
AT1G23200	DD
AT1G24270	DD
AT1G24405	DD
AT1G24470	DD
AT1G25510	DD
AT1G26210	DD
AT1G26500	DD
AT1G27050	DD
AT1G27930	DD
AT1G28010	DD
AT1G28600	DD
AT1G29195	DD
AT1G30280	DD
AT1G30760	DD
AT1G31835	DD
AT1G32610	DD
AT1G33840	DD
AT1G35560	DD
AT1G48480	DD
AT1G49005	DD
AT1G50790	DD
AT1G51805	DD
AT1G52430	DD
AT1G53270	DD
AT1G54120	DD
AT1G54530	DD
AT1G55050	DD
AT1G55550	DD
AT1G55610	DD
AT1G56010	DD
AT1G56020	DD
AT1G56650	DD
AT1G57590	DD
AT1G59970	DD
AT1G61390	DD
AT1G61600	DD
AT1G61930	DD
AT1G62120	DD
AT1G62440	DD
AT1G62620	DD
AT1G62870	DD
AT1G62910	DD
AT1G62930	DD
AT1G63230	DD
AT1G64330	DD
AT1G64450	DD
AT1G65060	DD
AT1G65870	DD
AT1G66140	DD
AT1G67030	DD
AT1G68360	DD
AT1G68470	DD
AT1G69440	DD
AT1G69760	DD
AT1G69780	DD
AT1G70270	DD
AT1G70420	DD
AT1G71880	DD
AT1G72600	DD
AT1G72610	DD
AT1G73400	DD
AT1G74200	DD
AT1G75110	DD
AT1G75140	DD
AT1G75590	DD
AT1G75880	DD
AT1G76952	DD
AT1G77400	DD
AT1G77850	DD
AT1G78030	DD
AT1G79110	DD
AT1G79410	DD
AT1G79770	DD
AT1G80730	DD
AT2G01850	DD
AT2G13610	DD
AT2G15980	DD
AT2G16280	DD
AT2G16500	DD
AT2G17270	DD
AT2G18120	DD
AT2G18150	DD
AT2G18620	DD
AT2G18980	DD
AT2G19780	DD
AT2G20540	DD
AT2G22590	DD
AT2G22820	DD
AT2G22930	DD
AT2G23180	DD
AT2G23300	DD
AT2G23430	DD
AT2G23700	DD
AT2G23910	DD
AT2G24560	DD
AT2G24630	DD
AT2G24762	DD
AT2G26360	DD
AT2G26730	DD
AT2G26790	DD
AT2G27180	DD
AT2G27420	DD
AT2G28200	DD
AT2G28420	DD
AT2G28550	DD
AT2G28870	DD
AT2G29710	DD
AT2G30210	DD
AT2G30505	DD
AT2G31070	DD
AT2G31270	DD
AT2G32100	DD
AT2G32220	DD
AT2G33170	DD
AT2G34010	DD
AT2G34140	DD
AT2G34180	DD
AT2G35850	DD
AT2G36880	DD
AT2G36980	DD
AT2G37380	DD
AT2G37460	DD
AT2G37710	DD
AT2G38152	DD
AT2G39220	DD
AT2G39430	DD
AT2G39710	DD
AT2G40200	DD
AT2G40370	DD
AT2G40435	DD
AT2G40460	DD
AT2G40900	DD
AT2G42200	DD
AT2G43440	DD
AT2G43445	DD
AT2G44300	DD
AT2G45160	DD
AT2G45750	DD
AT2G45830	DD
AT2G46210	DD
AT2G46310	DD
AT2G46450	DD
AT2G46480	DD
AT2G46567	DD
AT2G46870	DD
AT2G47360	DD
AT2G47670	DD
AT2G48080	DD
AT3G01140	DD
AT3G04140	DD
AT3G04510	DD
AT3G04760	DD
AT3G05370	DD
AT3G05800	DD
AT3G05936	DD
AT3G06778	DD
AT3G06830	DD
AT3G06890	DD
AT3G07320	DD
AT3G08660	DD
AT3G08870	DD
AT3G09040	DD
AT3G09160	DD
AT3G09162	DD
AT3G09550	DD
AT3G10000	DD
AT3G10910	DD
AT3G10912	DD
AT3G12610	DD
AT3G12955	DD
AT3G12970	DD
AT3G13403	DD
AT3G13404	DD
AT3G13600	DD
AT3G13650	DD
AT3G14370	DD
AT3G14395	DD
AT3G15030	DD
AT3G16870	DD
AT3G17180	DD
AT3G18485	DD
AT3G20015	DD
AT3G20600	DD
AT3G21560	DD
AT3G21690	DD
AT3G23110	DD
AT3G23120	DD
AT3G23440	DD
AT3G24460	DD
AT3G25290	DD
AT3G25560	DD
AT3G25730	DD
AT3G25882	DD
AT3G25970	DD
AT3G27270	DD
AT3G27290	DD
AT3G28007	DD
AT3G28040	DD
AT3G28510	DD
AT3G28570	DD
AT3G28920	DD
AT3G28960	DD
AT3G43580	DD
AT3G43720	DD
AT3G44713	DD
AT3G45210	DD
AT3G45680	DD
AT3G46130	DD
AT3G46150	DD
AT3G48260	DD
AT3G49210	DD
AT3G49330	DD
AT3G49950	DD
AT3G49980	DD
AT3G50170	DD
AT3G50420	DD
AT3G50660	DD
AT3G51240	DD
AT3G52700	DD
AT3G52710	DD
AT3G54220	DD
AT3G54990	DD
AT3G55110	DD
AT3G56100	DD
AT3G57130	DD
AT3G57720	DD
AT3G58850	DD
AT3G58980	DD
AT3G58990	DD
AT3G59140	DD
AT3G59670	DD
AT3G59750	DD
AT3G61750	DD
AT3G61820	DD
AT3G61880	DD
AT3G61950	DD
AT3G63210	DD
AT4G00150	DD
AT4G01080	DD
AT4G01500	DD
AT4G01630	DD
AT4G01740	DD
AT4G02040	DD
AT4G02100	DD
AT4G02330	DD
AT4G03270	DD
AT4G06744	DD
AT4G09430	DD
AT4G11400	DD
AT4G12390	DD
AT4G13570	DD
AT4G14480	DD
AT4G14590	DD
AT4G14650	DD
AT4G15070	DD
AT4G15320	DD
AT4G15975	DD
AT4G16120	DD
AT4G16610	DD
AT4G16640	DD
AT4G18210	DD
AT4G18220	DD
AT4G18390	DD
AT4G18500	DD
AT4G18501	DD
AT4G18630	DD
AT4G19120	DD
AT4G19380	DD
AT4G19460	DD
AT4G20780	DD
AT4G22980	DD
AT4G24010	DD
AT4G24180	DD
AT4G25760	DD
AT4G27595	DD
AT4G28280	DD
AT4G28560	DD
AT4G29140	DD
AT4G29150	DD
AT4G29710	DD
AT4G29720	DD
AT4G30080	DD
AT4G31500	DD
AT4G31590	DD
AT4G32800	DD
AT4G33330	DD
AT4G34220	DD
AT4G34610	DD
AT4G36240	DD
AT4G36920	DD
AT4G37630	DD
AT4G37682	DD
AT4G37685	DD
AT4G37890	DD
AT4G38420	DD
AT4G39320	DD
AT4G39480	DD
AT4G39950	DD
AT5G01480	DD
AT5G01790	DD
AT5G01810	DD
AT5G01830	DD
AT5G02190	DD
AT5G02270	DD
AT5G02480	DD
AT5G03700	DD
AT5G06000	DD
AT5G06790	DD
AT5G07610	DD
AT5G07620	DD
AT5G07720	DD
AT5G07990	DD
AT5G08640	DD
AT5G09870	DD
AT5G09970	DD
AT5G10930	DD
AT5G10970	DD
AT5G10990	DD
AT5G11230	DD
AT5G11790	DD
AT5G11930	DD
AT5G13180	DD
AT5G14870	DD
AT5G15240	DD
AT5G15300	DD
AT5G15410	DD
AT5G15830	DD
AT5G15900	DD
AT5G17040	DD
AT5G18300	DD
AT5G18430	DD
AT5G18690	DD
AT5G19040	DD
AT5G19060	DD
AT5G19580	DD
AT5G20670	DD
AT5G20885	DD
AT5G21100	DD
AT5G22940	DD
AT5G23170	DD
AT5G23270	DD
AT5G23400	DD
AT5G23730	DD
AT5G23930	DD
AT5G24200	DD
AT5G25160	DD
AT5G25830	DD
AT5G26230	DD
AT5G26790	DD
AT5G38040	DD
AT5G38100	DD
AT5G38130	DD
AT5G38210	DD
AT5G38240	DD
AT5G40400	DD
AT5G40630	DD
AT5G41040	DD
AT5G41315	DD
AT5G42860	DD
AT5G43240	DD
AT5G43630	DD
AT5G43760	DD
AT5G44390	DD
AT5G44410	DD
AT5G44530	DD
AT5G45280	DD
AT5G45460	DD
AT5G45700	DD
AT5G45720	DD
AT5G45790	DD
AT5G45800	DD
AT5G46590	DD
AT5G47360	DD
AT5G48170	DD
AT5G49665	DD
AT5G50160	DD
AT5G50940	DD
AT5G51670	DD
AT5G51850	DD
AT5G52860	DD
AT5G52930	DD
AT5G53020	DD
AT5G53660	DD
AT5G54145	DD
AT5G55340	DD
AT5G55350	DD
AT5G55680	DD
AT5G55950	DD
AT5G57570	DD
AT5G57685	DD
AT5G58360	DD
AT5G59350	DD
AT5G60760	DD
AT5G60900	DD
AT5G61350	DD
AT5G61420	DD
AT5G61570	DD
AT5G62220	DD
AT5G64490	DD
AT5G64530	DD
AT5G64620	DD
AT5G66270	DD
AT5G66740	DD
AT5G66770	DD
AT5G66840	DD
AT5G67090	DD
AT5G67160	DD
