gene	cluster	Family	Short_description
AT1G13520	UU	NA	NA
AT1G13600	UU	bZIP	basic leucine-zipper 58
AT1G13640	UU	NA	NA
AT1G13690	UU	NA	NA
AT1G13990	UU	NA	NA
AT1G14200	UU	NA	NA
AT1G14205	UU	NA	NA
AT1G14360	UU	NA	NA
AT1G14540	UU	NA	NA
AT1G14980	UU	NA	NA
AT1G15010	UU	NA	NA
AT1G15410	UU	NA	NA
AT1G15415	UU	NA	NA
AT1G15550	UU	NA	NA
AT1G15970	UU	NA	NA
AT1G16022	UU	NA	NA
AT1G16025	UU	NA	NA
AT1G16030	UU	NA	NA
AT1G16040	UU	NA	NA
AT1G16070	UU	NA	NA
AT1G16130	UU	NA	NA
AT1G16640	UU	B3	AP2/B3-like transcriptional factor family protein
AT1G17420	UU	NA	NA
AT1G17460	UU	MYB_related	TRF-like 3
AT1G17860	UU	NA	NA
AT1G17870	UU	NA	NA
AT1G18260	UU	NA	NA
AT1G18300	UU	NA	NA
AT1G18330	UU	MYB_related	Homeodomain-like superfamily protein
AT1G19020	UU	NA	NA
AT1G19180	UU	NA	NA
AT1G19400	UU	NA	NA
AT1G19530	UU	NA	NA
AT1G20030	UU	NA	NA
AT1G20065	UU	NA	NA
AT1G20070	UU	NA	NA
AT1G20310	UU	NA	NA
AT1G20350	UU	NA	NA
AT1G20440	UU	NA	NA
AT1G20450	UU	NA	NA
AT1G20640	UU	Nin-like	Plant regulator RWP-RK family protein
AT1G21010	UU	NA	NA
AT1G21210	UU	NA	NA
AT1G21340	UU	Dof	Dof-type zinc finger DNA-binding family protein
AT1G21350	UU	NA	NA
AT1G21410	UU	NA	NA
AT1G21460	UU	NA	NA
AT1G21550	UU	NA	NA
AT1G21740	UU	NA	NA
AT1G21940	UU	NA	NA
AT1G22110	UU	NA	NA
AT1G22190	UU	ERF	Integrase-type DNA-binding superfamily protein
AT1G22470	UU	NA	NA
AT1G22770	UU	NA	NA
AT1G22985	UU	ERF	Integrase-type DNA-binding superfamily protein
AT1G23180	UU	NA	NA
AT1G23330	UU	NA	NA
AT1G23550	UU	NA	NA
AT1G24140	UU	NA	NA
AT1G26690	UU	NA	NA
AT1G26800	UU	NA	NA
AT1G27080	UU	NA	NA
AT1G27090	UU	NA	NA
AT1G27170	UU	NA	NA
AT1G27330	UU	NA	NA
AT1G27350	UU	NA	NA
AT1G27730	UU	C2H2	salt tolerance zinc finger
AT1G27770	UU	NA	NA
AT1G28190	UU	NA	NA
AT1G28550	UU	NA	NA
AT1G29030	UU	NA	NA
AT1G29150	UU	NA	NA
AT1G29260	UU	NA	NA
AT1G29290	UU	NA	NA
AT1G29470	UU	NA	NA
AT1G29640	UU	NA	NA
AT1G29690	UU	NA	NA
AT1G29770	UU	NA	NA
AT1G29780	UU	NA	NA
AT1G30060	UU	NA	NA
AT1G30070	UU	NA	NA
AT1G30190	UU	NA	NA
AT1G30473	UU	NA	NA
AT1G30475	UU	NA	NA
AT1G31270	UU	NA	NA
AT1G31280	UU	NA	NA
AT1G31290	UU	NA	NA
AT1G31335	UU	NA	NA
AT1G31370	UU	NA	NA
AT1G32090	UU	NA	NA
AT1G32330	UU	HSF	heat shock transcription factor A1D
AT1G32350	UU	NA	NA
AT1G32870	UU	NAC	NAC domain protein 13
AT1G32880	UU	NA	NA
AT1G32920	UU	NA	NA
AT1G32928	UU	NA	NA
AT1G33055	UU	NA	NA
AT1G33350	UU	NA	NA
AT1G33500	UU	NA	NA
AT1G33760	UU	ERF	Integrase-type DNA-binding superfamily protein
AT1G33770	UU	NA	NA
AT1G34575	UU	NA	NA
AT1G35140	UU	NA	NA
AT1G35210	UU	NA	NA
AT1G35660	UU	NA	NA
AT1G42980	UU	NA	NA
AT1G42990	UU	bZIP	basic region/leucine zipper motif 60
AT1G43000	UU	NA	NA
AT1G44350	UU	NA	NA
AT1G44414	UU	NA	NA
AT1G45145	UU	NA	NA
AT1G47510	UU	NA	NA
AT1G48060	UU	NA	NA
AT1G48700	UU	NA	NA
AT1G48720	UU	NA	NA
AT1G48730	UU	NA	NA
AT1G49130	UU	CO-like	B-box type zinc finger protein with CCT domain
AT1G49250	UU	NA	NA
AT1G49405	UU	NA	NA
AT1G49560	UU	G2-like	Homeodomain-like superfamily protein
AT1G49710	UU	NA	NA
AT1G49790	UU	NA	NA
AT1G49840	UU	NA	NA
AT1G50390	UU	NA	NA
AT1G50640	UU	ERF	ethylene responsive element binding factor 3
AT1G50740	UU	NA	NA
AT1G50750	UU	NA	NA
AT1G51340	UU	NA	NA
AT1G51820	UU	NA	NA
AT1G52343	UU	NA	NA
AT1G52560	UU	NA	NA
AT1G52565	UU	NA	NA
AT1G52690	UU	NA	NA
AT1G52820	UU	NA	NA
AT1G52870	UU	NA	NA
AT1G53180	UU	NA	NA
AT1G53540	UU	NA	NA
AT1G53590	UU	NA	NA
AT1G53620	UU	NA	NA
AT1G53625	UU	NA	NA
AT1G53730	UU	NA	NA
AT1G54050	UU	NA	NA
AT1G54160	UU	NF-YA	nuclear factor Y, subunit A5
AT1G54830	UU	NF-YC	nuclear factor Y, subunit C3
AT1G55290	UU	NA	NA
AT1G55300	UU	NA	NA
AT1G55310	UU	NA	NA
AT1G55340	UU	NA	NA
AT1G55530	UU	NA	NA
AT1G55546	UU	NA	NA
AT1G55620	UU	NA	NA
AT1G55980	UU	NA	NA
AT1G56060	UU	NA	NA
AT1G56170	UU	NF-YC	nuclear factor Y, subunit C2
AT1G56240	UU	NA	NA
AT1G56300	UU	NA	NA
AT1G56340	UU	NA	NA
AT1G56440	UU	NA	NA
AT1G56600	UU	NA	NA
AT1G57630	UU	NA	NA
AT1G57820	UU	NA	NA
AT1G58120	UU	NA	NA
AT1G58122	UU	NA	NA
AT1G58170	UU	NA	NA
AT1G59590	UU	NA	NA
AT1G59725	UU	NA	NA
AT1G59860	UU	NA	NA
AT1G59865	UU	NA	NA
AT1G59980	UU	NA	NA
AT1G60190	UU	NA	NA
AT1G60470	UU	NA	NA
AT1G60970	UU	NA	NA
AT1G61120	UU	NA	NA
AT1G61260	UU	NA	NA
AT1G61340	UU	NA	NA
AT1G61800	UU	NA	NA
AT1G62420	UU	NA	NA
AT1G62730	UU	NA	NA
AT1G62740	UU	NA	NA
AT1G62760	UU	NA	NA
AT1G62950	UU	NA	NA
AT1G63057	UU	NA	NA
AT1G63530	UU	NA	NA
AT1G63720	UU	NA	NA
AT1G63730	UU	NA	NA
AT1G63840	UU	NA	NA
AT1G64200	UU	NA	NA
AT1G65040	UU	NA	NA
AT1G65980	UU	NA	NA
AT1G66080	UU	NA	NA
AT1G66090	UU	NA	NA
AT1G66160	UU	NA	NA
AT1G66400	UU	NA	NA
AT1G66500	UU	NA	NA
AT1G66510	UU	NA	NA
AT1G66550	UU	WRKY	WRKY DNA-binding protein 67
AT1G66930	UU	NA	NA
AT1G67000	UU	NA	NA
AT1G67360	UU	NA	NA
AT1G67370	UU	NA	NA
AT1G67440	UU	NA	NA
AT1G67460	UU	NA	NA
AT1G67540	UU	NA	NA
AT1G67855	UU	NA	NA
AT1G67856	UU	NA	NA
AT1G67920	UU	NA	NA
AT1G68140	UU	NA	NA
AT1G68290	UU	NA	NA
AT1G68300	UU	NA	NA
AT1G68320	UU	MYB	myb domain protein 62
AT1G68620	UU	NA	NA
AT1G68930	UU	NA	NA
AT1G69840	UU	NA	NA
AT1G69850	UU	NA	NA
AT1G69880	UU	NA	NA
AT1G70140	UU	NA	NA
AT1G70180	UU	NA	NA
AT1G70300	UU	NA	NA
AT1G70800	UU	NA	NA
AT1G71000	UU	NA	NA
AT1G72100	UU	NA	NA
AT1G72416	UU	NA	NA
AT1G72490	UU	NA	NA
AT1G72520	UU	NA	NA
AT1G72540	UU	NA	NA
AT1G72660	UU	NA	NA
AT1G72760	UU	NA	NA
AT1G72900	UU	NA	NA
AT1G73010	UU	NA	NA
AT1G73066	UU	NA	NA
AT1G73380	UU	NA	NA
AT1G73480	UU	NA	NA
AT1G73690	UU	NA	NA
AT1G73740	UU	NA	NA
AT1G73750	UU	NA	NA
AT1G73810	UU	NA	NA
AT1G73980	UU	NA	NA
AT1G74240	UU	NA	NA
AT1G74300	UU	NA	NA
AT1G74310	UU	NA	NA
AT1G74320	UU	NA	NA
AT1G75388	UU	NA	NA
AT1G75390	UU	bZIP	basic leucine-zipper 44
AT1G75580	UU	NA	NA
AT1G75730	UU	NA	NA
AT1G75980	UU	NA	NA
AT1G76080	UU	NA	NA
AT1G76190	UU	NA	NA
AT1G76640	UU	NA	NA
AT1G76650	UU	NA	NA
AT1G77000	UU	NA	NA
AT1G77290	UU	NA	NA
AT1G77410	UU	NA	NA
AT1G77460	UU	NA	NA
AT1G77680	UU	NA	NA
AT1G78080	UU	ERF	related to AP2 4
AT1G78150	UU	NA	NA
AT1G78310	UU	NA	NA
AT1G78380	UU	NA	NA
AT1G78390	UU	NA	NA
AT1G78400	UU	NA	NA
AT1G78600	UU	DBB	light-regulated zinc finger protein 1
AT1G78610	UU	NA	NA
AT1G79550	UU	NA	NA
AT1G79780	UU	NA	NA
AT1G79915	UU	NA	NA
AT1G79920	UU	NA	NA
AT1G80480	UU	NA	NA
AT2G01150	UU	NA	NA
AT2G01180	UU	NA	NA
AT2G01390	UU	NA	NA
AT2G02220	UU	NA	NA
AT2G02750	UU	NA	NA
AT2G02760	UU	NA	NA
AT2G02795	UU	NA	NA
AT2G02810	UU	NA	NA
AT2G03020	UU	NA	NA
AT2G03560	UU	NA	NA
AT2G04030	UU	NA	NA
AT2G04520	UU	NA	NA
AT2G04530	UU	NA	NA
AT2G06530	UU	NA	NA
AT2G07667	UU	NA	NA
AT2G07671	UU	NA	NA
AT2G07674	UU	NA	NA
AT2G07698	UU	NA	NA
AT2G07722	UU	NA	NA
AT2G07728	UU	NA	NA
AT2G07739	UU	NA	NA
AT2G07775	UU	NA	NA
AT2G07779	UU	NA	NA
AT2G07787	UU	NA	NA
AT2G07806	UU	NA	NA
AT2G14290	UU	NA	NA
AT2G15790	UU	NA	NA
AT2G16250	UU	NA	NA
AT2G16720	UU	MYB	myb domain protein 7
AT2G17442	UU	NA	NA
AT2G17680	UU	NA	NA
AT2G17840	UU	NA	NA
AT2G17900	UU	NA	NA
AT2G17950	UU	WOX	Homeodomain-like superfamily protein
AT2G18510	UU	NA	NA
AT2G18550	UU	HD-ZIP	homeobox protein 21
AT2G18670	UU	NA	NA
AT2G18680	UU	NA	NA
AT2G18690	UU	NA	NA
AT2G19310	UU	NA	NA
AT2G19580	UU	NA	NA
AT2G19630	UU	NA	NA
AT2G19890	UU	NA	NA
AT2G19900	UU	NA	NA
AT2G20150	UU	NA	NA
AT2G20350	UU	ERF	Integrase-type DNA-binding superfamily protein
AT2G20560	UU	NA	NA
AT2G20720	UU	NA	NA
AT2G20880	UU	ERF	Integrase-type DNA-binding superfamily protein
AT2G20940	UU	NA	NA
AT2G21130	UU	NA	NA
AT2G21320	UU	DBB	B-box zinc finger family protein
AT2G21640	UU	NA	NA
AT2G21820	UU	NA	NA
AT2G21880	UU	NA	NA
AT2G21940	UU	NA	NA
AT2G22088	UU	NA	NA
AT2G22090	UU	NA	NA
AT2G22240	UU	NA	NA
AT2G22830	UU	NA	NA
AT2G22880	UU	NA	NA
AT2G23110	UU	NA	NA
AT2G23810	UU	NA	NA
AT2G24100	UU	NA	NA
AT2G24680	UU	B3	transcriptional factor B3 family protein
AT2G24681	UU	B3	AP2/B3-like transcriptional factor family protein
AT2G24696	UU	B3	transcriptional factor B3 family protein
AT2G24840	UU	M-type_MADS	AGAMOUS-like 61
AT2G25090	UU	NA	NA
AT2G25110	UU	NA	NA
AT2G25140	UU	NA	NA
AT2G25460	UU	NA	NA
AT2G25930	UU	NA	NA
AT2G25950	UU	NA	NA
AT2G26000	UU	NA	NA
AT2G26010	UU	NA	NA
AT2G26140	UU	NA	NA
AT2G26150	UU	HSF	heat shock transcription factor A2
AT2G26310	UU	NA	NA
AT2G26530	UU	NA	NA
AT2G26560	UU	NA	NA
AT2G26860	UU	NA	NA
AT2G26940	UU	C2H2	C2H2-type zinc finger family protein
AT2G27060	UU	NA	NA
AT2G27080	UU	NA	NA
AT2G27200	UU	NA	NA
AT2G27580	UU	NA	NA
AT2G27790	UU	NA	NA
AT2G28000	UU	NA	NA
AT2G28440	UU	NA	NA
AT2G28570	UU	NA	NA
AT2G29450	UU	NA	NA
AT2G29460	UU	NA	NA
AT2G29500	UU	NA	NA
AT2G29740	UU	NA	NA
AT2G30000	UU	NA	NA
AT2G30230	UU	NA	NA
AT2G30320	UU	NA	NA
AT2G30480	UU	NA	NA
AT2G31560	UU	NA	NA
AT2G31865	UU	NA	NA
AT2G32030	UU	NA	NA
AT2G32120	UU	NA	NA
AT2G32130	UU	NA	NA
AT2G32140	UU	NA	NA
AT2G32150	UU	NA	NA
AT2G32190	UU	NA	NA
AT2G32200	UU	NA	NA
AT2G32210	UU	NA	NA
AT2G32920	UU	NA	NA
AT2G33460	UU	NA	NA
AT2G33585	UU	NA	NA
AT2G33590	UU	NA	NA
AT2G33670	UU	NA	NA
AT2G33700	UU	NA	NA
AT2G33735	UU	NA	NA
AT2G34040	UU	NA	NA
AT2G34500	UU	NA	NA
AT2G34590	UU	NA	NA
AT2G34600	UU	NA	NA
AT2G34840	UU	NA	NA
AT2G34890	UU	NA	NA
AT2G35035	UU	NA	NA
AT2G35980	UU	NA	NA
AT2G36080	UU	NA	NA
AT2G36220	UU	NA	NA
AT2G36460	UU	NA	NA
AT2G36750	UU	NA	NA
AT2G36815	UU	NA	NA
AT2G36830	UU	NA	NA
AT2G37170	UU	NA	NA
AT2G37180	UU	NA	NA
AT2G37440	UU	NA	NA
AT2G37800	UU	NA	NA
AT2G38185	UU	NA	NA
AT2G38195	UU	NA	NA
AT2G38240	UU	NA	NA
AT2G38250	UU	NA	NA
AT2G38340	UU	NA	NA
AT2G38465	UU	NA	NA
AT2G38470	UU	NA	NA
AT2G38600	UU	NA	NA
AT2G38820	UU	NA	NA
AT2G39510	UU	NA	NA
AT2G39650	UU	NA	NA
AT2G40095	UU	NA	NA
AT2G40140	UU	NA	NA
AT2G40300	UU	NA	NA
AT2G40340	UU	NA	NA
AT2G40830	UU	NA	NA
AT2G40960	UU	NA	NA
AT2G41100	UU	NA	NA
AT2G41160	UU	NA	NA
AT2G41170	UU	NA	NA
AT2G41230	UU	NA	NA
AT2G41231	UU	NA	NA
AT2G41410	UU	NA	NA
AT2G41835	UU	NA	NA
AT2G42400	UU	NA	NA
AT2G43018	UU	NA	NA
AT2G43020	UU	NA	NA
AT2G43320	UU	NA	NA
AT2G43340	UU	NA	NA
AT2G43500	UU	NA	NA
AT2G43630	UU	NA	NA
AT2G43900	UU	NA	NA
AT2G44080	UU	NA	NA
AT2G44130	UU	NA	NA
AT2G44660	UU	NA	NA
AT2G44840	UU	NA	NA
AT2G45350	UU	NA	NA
AT2G45360	UU	NA	NA
AT2G45380	UU	NA	NA
AT2G45840	UU	NA	NA
AT2G46240	UU	NA	NA
AT2G46270	UU	NA	NA
AT2G46600	UU	NA	NA
AT2G46720	UU	NA	NA
AT2G46790	UU	NA	NA
AT2G47180	UU	NA	NA
AT2G47520	UU	NA	NA
AT2G47720	UU	NA	NA
AT2G47730	UU	NA	NA
AT2G47950	UU	NA	NA
AT3G01070	UU	NA	NA
AT3G01175	UU	NA	NA
AT3G01210	UU	NA	NA
AT3G02140	UU	NA	NA
AT3G02840	UU	NA	NA
AT3G02990	UU	NA	NA
AT3G03060	UU	NA	NA
AT3G03270	UU	NA	NA
AT3G03310	UU	NA	NA
AT3G03320	UU	NA	NA
AT3G03510	UU	NA	NA
AT3G03520	UU	NA	NA
AT3G03950	UU	NA	NA
AT3G04120	UU	NA	NA
AT3G04200	UU	NA	NA
AT3G04300	UU	NA	NA
AT3G04640	UU	NA	NA
AT3G04710	UU	NA	NA
AT3G05030	UU	NA	NA
AT3G05320	UU	NA	NA
AT3G05327	UU	NA	NA
AT3G06420	UU	NA	NA
AT3G06540	UU	NA	NA
AT3G06660	UU	NA	NA
AT3G07080	UU	NA	NA
AT3G07090	UU	NA	NA
AT3G07150	UU	NA	NA
AT3G07350	UU	NA	NA
AT3G07370	UU	NA	NA
AT3G07770	UU	NA	NA
AT3G08590	UU	NA	NA
AT3G08690	UU	NA	NA
AT3G08700	UU	NA	NA
AT3G08720	UU	NA	NA
AT3G08970	UU	NA	NA
AT3G09032	UU	NA	NA
AT3G09085	UU	NA	NA
AT3G09230	UU	NA	NA
AT3G09350	UU	NA	NA
AT3G09440	UU	NA	NA
AT3G09480	UU	NA	NA
AT3G09640	UU	NA	NA
AT3G09870	UU	NA	NA
AT3G10020	UU	NA	NA
AT3G10300	UU	NA	NA
AT3G10380	UU	NA	NA
AT3G10500	UU	NA	NA
AT3G10640	UU	NA	NA
AT3G10800	UU	NA	NA
AT3G10815	UU	NA	NA
AT3G10820	UU	NA	NA
AT3G10985	UU	NA	NA
AT3G11020	UU	NA	NA
AT3G11260	UU	NA	NA
AT3G11670	UU	NA	NA
AT3G12050	UU	NA	NA
AT3G12190	UU	NA	NA
AT3G12580	UU	NA	NA
AT3G13130	UU	NA	NA
AT3G13235	UU	NA	NA
AT3G13310	UU	NA	NA
AT3G13470	UU	NA	NA
AT3G13680	UU	NA	NA
AT3G13840	UU	NA	NA
AT3G13850	UU	NA	NA
AT3G13860	UU	NA	NA
AT3G14200	UU	NA	NA
AT3G14300	UU	NA	NA
AT3G14440	UU	NA	NA
AT3G14620	UU	NA	NA
AT3G15340	UU	NA	NA
AT3G15500	UU	NA	NA
AT3G15770	UU	NA	NA
AT3G15870	UU	NA	NA
AT3G16040	UU	NA	NA
AT3G16050	UU	NA	NA
AT3G16510	UU	NA	NA
AT3G17130	UU	NA	NA
AT3G17152	UU	NA	NA
AT3G17330	UU	NA	NA
AT3G17400	UU	NA	NA
AT3G17600	UU	NA	NA
AT3G17611	UU	NA	NA
AT3G17620	UU	NA	NA
AT3G17690	UU	NA	NA
AT3G17790	UU	NA	NA
AT3G17800	UU	NA	NA
AT3G18370	UU	NA	NA
AT3G18550	UU	NA	NA
AT3G18850	UU	NA	NA
AT3G18900	UU	NA	NA
AT3G19270	UU	NA	NA
AT3G20180	UU	NA	NA
AT3G20190	UU	NA	NA
AT3G21520	UU	NA	NA
AT3G21880	UU	NA	NA
AT3G22090	UU	NA	NA
AT3G22100	UU	NA	NA
AT3G22840	UU	NA	NA
AT3G23150	UU	NA	NA
AT3G23170	UU	NA	NA
AT3G23230	UU	NA	NA
AT3G23240	UU	NA	NA
AT3G23637	UU	NA	NA
AT3G23920	UU	NA	NA
AT3G23955	UU	NA	NA
AT3G23990	UU	NA	NA
AT3G24090	UU	NA	NA
AT3G24100	UU	NA	NA
AT3G24500	UU	NA	NA
AT3G25013	UU	NA	NA
AT3G25014	UU	NA	NA
AT3G25110	UU	NA	NA
AT3G25230	UU	NA	NA
AT3G25573	UU	NA	NA
AT3G25780	UU	NA	NA
AT3G26170	UU	NA	NA
AT3G26300	UU	NA	NA
AT3G26450	UU	NA	NA
AT3G26510	UU	NA	NA
AT3G27025	UU	NA	NA
AT3G27970	UU	NA	NA
AT3G28210	UU	NA	NA
AT3G28340	UU	NA	NA
AT3G28740	UU	NA	NA
AT3G28857	UU	NA	NA
AT3G29000	UU	NA	NA
AT3G29575	UU	NA	NA
AT3G29810	UU	NA	NA
AT3G43250	UU	NA	NA
AT3G43970	UU	NA	NA
AT3G44110	UU	NA	NA
AT3G44400	UU	NA	NA
AT3G44716	UU	NA	NA
AT3G46080	UU	C2H2	C2H2-type zinc finger family protein
AT3G46090	UU	C2H2	C2H2 and C2HC zinc fingers superfamily protein
AT3G46200	UU	NA	NA
AT3G46220	UU	NA	NA
AT3G46230	UU	NA	NA
AT3G46870	UU	NA	NA
AT3G47160	UU	NA	NA
AT3G47550	UU	NA	NA
AT3G47860	UU	NA	NA
AT3G47870	UU	LBD	LOB domain-containing protein 27
AT3G48070	UU	NA	NA
AT3G48240	UU	NA	NA
AT3G48520	UU	NA	NA
AT3G48540	UU	NA	NA
AT3G49160	UU	NA	NA
AT3G49320	UU	NA	NA
AT3G49530	UU	NAC	NAC domain containing protein 62
AT3G49790	UU	NA	NA
AT3G49810	UU	NA	NA
AT3G50260	UU	ERF	cooperatively regulated by ethylene and jasmonate 1
AT3G50330	UU	bHLH	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT3G50480	UU	NA	NA
AT3G50500	UU	NA	NA
AT3G50620	UU	NA	NA
AT3G50800	UU	NA	NA
AT3G50930	UU	NA	NA
AT3G50940	UU	NA	NA
AT3G51500	UU	NA	NA
AT3G51520	UU	NA	NA
AT3G51910	UU	HSF	heat shock transcription factor  A7A
AT3G51980	UU	NA	NA
AT3G52400	UU	NA	NA
AT3G53230	UU	NA	NA
AT3G53830	UU	NA	NA
AT3G53990	UU	NA	NA
AT3G54000	UU	NA	NA
AT3G54320	UU	AP2	Integrase-type DNA-binding superfamily protein
AT3G55580	UU	NA	NA
AT3G55950	UU	NA	NA
AT3G55980	UU	C3H	salt-inducible zinc finger 1
AT3G56200	UU	NA	NA
AT3G56250	UU	NA	NA
AT3G56260	UU	NA	NA
AT3G56600	UU	NA	NA
AT3G56740	UU	NA	NA
AT3G56790	UU	NA	NA
AT3G57530	UU	NA	NA
AT3G57550	UU	NA	NA
AT3G57810	UU	NA	NA
AT3G57880	UU	NA	NA
AT3G58490	UU	NA	NA
AT3G59280	UU	NA	NA
AT3G59430	UU	NA	NA
AT3G59520	UU	NA	NA
AT3G59530	UU	NA	NA
AT3G59730	UU	NA	NA
AT3G60120	UU	NA	NA
AT3G60130	UU	NA	NA
AT3G60190	UU	NA	NA
AT3G60250	UU	NA	NA
AT3G60360	UU	NA	NA
AT3G60710	UU	NA	NA
AT3G60720	UU	NA	NA
AT3G60940	UU	NA	NA
AT3G61028	UU	NA	NA
AT3G61111	UU	NA	NA
AT3G61190	UU	NA	NA
AT3G61630	UU	ERF	cytokinin response factor 6
AT3G61900	UU	NA	NA
AT3G62260	UU	NA	NA
AT3G62600	UU	NA	NA
AT3G62740	UU	NA	NA
AT3G62780	UU	NA	NA
AT3G63060	UU	NA	NA
AT3G63300	UU	NA	NA
AT3G63310	UU	NA	NA
AT3G63350	UU	HSF	winged-helix DNA-binding transcription factor family protein
AT3G63440	UU	NA	NA
AT4G00350	UU	NA	NA
AT4G00550	UU	NA	NA
AT4G00670	UU	NA	NA
AT4G00760	UU	NA	NA
AT4G00770	UU	NA	NA
AT4G00940	UU	Dof	Dof-type zinc finger DNA-binding family protein
AT4G01010	UU	NA	NA
AT4G01120	UU	bZIP	G-box binding factor 2
AT4G01360	UU	NA	NA
AT4G01550	UU	NAC	NAC domain containing protein 69
AT4G01970	UU	NA	NA
AT4G02425	UU	NA	NA
AT4G02430	UU	NA	NA
AT4G02550	UU	NA	NA
AT4G02690	UU	NA	NA
AT4G02920	UU	NA	NA
AT4G02980	UU	NA	NA
AT4G03420	UU	NA	NA
AT4G03930	UU	NA	NA
AT4G03940	UU	NA	NA
AT4G03960	UU	NA	NA
AT4G04020	UU	NA	NA
AT4G04260	UU	NA	NA
AT4G04540	UU	NA	NA
AT4G05070	UU	NA	NA
AT4G05320	UU	NA	NA
AT4G08230	UU	NA	NA
AT4G08320	UU	NA	NA
AT4G08590	UU	NA	NA
AT4G09080	UU	NA	NA
AT4G09150	UU	NA	NA
AT4G09300	UU	NA	NA
AT4G10040	UU	NA	NA
AT4G10110	UU	NA	NA
AT4G10250	UU	NA	NA
AT4G10330	UU	NA	NA
AT4G11170	UU	NA	NA
AT4G11220	UU	NA	NA
AT4G11280	UU	NA	NA
AT4G11655	UU	NA	NA
AT4G11660	UU	HSF	winged-helix DNA-binding transcription factor family protein
AT4G11670	UU	NA	NA
AT4G11740	UU	NA	NA
AT4G12400	UU	NA	NA
AT4G12410	UU	NA	NA
AT4G12530	UU	NA	NA
AT4G12690	UU	NA	NA
AT4G12720	UU	NA	NA
AT4G12735	UU	NA	NA
AT4G12960	UU	NA	NA
AT4G13395	UU	NA	NA
AT4G13550	UU	NA	NA
AT4G13620	UU	ERF	Integrase-type DNA-binding superfamily protein
AT4G13680	UU	NA	NA
AT4G13800	UU	NA	NA
AT4G13830	UU	NA	NA
AT4G14170	UU	NA	NA
AT4G14270	UU	NA	NA
AT4G14300	UU	NA	NA
AT4G14301	UU	NA	NA
AT4G14365	UU	NA	NA
AT4G14370	UU	NA	NA
AT4G14385	UU	NA	NA
AT4G14695	UU	NA	NA
AT4G14819	UU	NA	NA
AT4G15280	UU	NA	NA
AT4G15410	UU	NA	NA
AT4G15420	UU	NA	NA
AT4G15660	UU	NA	NA
AT4G15670	UU	NA	NA
AT4G15680	UU	NA	NA
AT4G15930	UU	NA	NA
AT4G16146	UU	NA	NA
AT4G16500	UU	NA	NA
AT4G16660	UU	NA	NA
AT4G16820	UU	NA	NA
AT4G17160	UU	NA	NA
AT4G17230	UU	GRAS	SCARECROW-like 13
AT4G17250	UU	NA	NA
AT4G17500	UU	ERF	ethylene responsive element binding factor 1
AT4G17580	UU	NA	NA
AT4G17585	UU	NA	NA
AT4G17615	UU	NA	NA
AT4G17970	UU	NA	NA
AT4G18280	UU	NA	NA
AT4G18395	UU	NA	NA
AT4G18450	UU	ERF	Integrase-type DNA-binding superfamily protein
AT4G18700	UU	NA	NA
AT4G18880	UU	HSF	heat shock transcription factor  A4A
