"","description","cluster","Matching.Attribute","ID","shared.name","Family","Class","ABI3VP1_DD","MYBrelated_DD","MYB_DD","CPP_DD","C2C2dof_DD","ZFHD_DD","ARID_DD","Trihelix_DD","NAC_DD","WRKY_DD","C2C2YABBY_DD","ND_DD","Homeobox_DD","BZR_DD","TCP_DD","AP2EREBP_DD","Orphan_DD","bHLH_DD","HB_DD","C2C2gata_DD","HMG_DD","GRF_DD","C2H2_DD"
"71","SSF52799","UU","AT4G03960","AT4G03960","AT4G03960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Homeodomain-like","UU","AT1G18330","AT1G18330","AT1G18330","MYB_related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","NO_DESCRIPTION","UU","AT5G04840","AT5G04840","AT5G04840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Transcription factor, TCP","DD","AT5G08070","AT5G08070","AT5G08070","TCP","pos",1,2,6,1,1,2,6,0,2,0,0,3,1,0,2,0,2,1,0,1,0,0,1
"75","SSF56801","DD","AT3G21240","AT3G21240","AT3G21240",NA,"pos",1,2,3,0,1,0,0,0,1,0,0,4,0,0,5,1,2,0,1,0,1,1,1
"76","Transcription factor, TCP","DD","AT2G31070","AT2G31070","AT2G31070","TCP","pos",2,1,2,0,0,1,3,1,0,0,1,3,2,1,4,2,1,2,0,0,1,1,0
"77","Homeodomain-like;Homeodomain-like","DD","AT3G01140","AT3G01140","AT3G01140","MYB","pos",1,1,1,2,1,1,2,0,0,0,1,5,0,1,4,1,1,2,0,1,1,1,1
"78","SSF56784","UU","AT2G32150","AT2G32150","AT2G32150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Zinc finger, C2H2-like;Zinc finger, C2H2-like","UU","AT3G46080","AT3G46080","AT3G46080","C2H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Helix-loop-helix DNA-binding","DD","AT2G40200","AT2G40200","AT2G40200","bHLH","pos",4,1,4,0,1,0,2,0,0,0,0,6,1,1,3,1,1,1,1,1,1,1,1
"81","BTB/POZ fold;WD40/YVTN repeat-like-containing domain","UU","AT4G30940","AT4G30940","AT4G30940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Protein of unknown function DUF641, plant","UU","AT2G32130","AT2G32130","AT2G32130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Homeodomain-like;Leucine zipper, homeobox-associated","DD","AT1G69780","AT1G69780","AT1G69780","HD-ZIP","pos",4,2,1,1,1,2,4,1,4,0,1,3,1,1,3,0,2,0,1,1,1,1,1
"84","SSF57667","UU","AT1G27730","AT1G27730","AT1G27730","C2H2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Toll-Interleukin receptor;Protein of unknown function DUF641, plant","UU","AT2G32140","AT2G32140","AT2G32140",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","HTH transcriptional regulator, Myb-type, DNA-binding;HTH transcriptional regulator, Myb-type, DNA-binding","UU","AT5G67300","AT5G67300","AT5G67300","MYB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","DNA-binding, integrase-type;DNA-binding, integrase-type","DD","AT2G28550","AT2G28550","AT2G28550","AP2","pos",1,1,6,2,1,0,2,0,3,1,1,2,1,1,1,1,0,1,0,1,1,0,1
"88","Cytochrome P450","DD","AT2G29090","AT2G29090","AT2G29090",NA,"pos",2,1,2,2,1,3,5,0,4,0,0,6,1,0,3,1,2,1,0,1,1,0,0
"89","No apical meristem (NAM) protein","DD","AT1G56010","AT1G56010","AT1G56010","NAC","pos",4,1,3,0,0,3,5,0,3,0,0,5,1,1,3,1,1,0,1,1,0,1,0
"90","SSF53448;NOVEL00178","DD","AT2G24630","AT2G24630","AT2G24630",NA,"pos",2,1,3,1,1,0,2,1,0,1,1,1,0,0,3,0,2,1,1,0,1,0,1
"91","SSF57889;SSF57889;SSF57889;SSF57889","DD","AT4G13130","AT4G13130","AT4G13130",NA,"pos",2,0,3,0,1,1,2,0,1,1,0,4,1,0,3,1,1,0,0,1,0,1,1
"92","SSF46785","UU","AT4G11660","AT4G11660","AT4G11660","HSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","NO_DESCRIPTION","UU","AT5G25280","AT5G25280","AT5G25280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Homeodomain-like;Homeodomain-like","DD","AT3G62610","AT3G62610","AT3G62610","MYB","pos",3,1,5,1,1,1,3,0,2,1,1,6,1,0,3,1,1,2,1,1,0,1,1
"95","DNA-binding, integrase-type","DD","AT4G16750","AT4G16750","AT4G16750","ERF","pos",1,1,3,1,1,1,3,1,4,0,0,7,2,0,4,1,0,1,1,1,0,0,1
"96","No apical meristem (NAM) protein","UU","AT3G49530","AT3G49530","AT3G49530","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Zinc finger, C2H2-like","DD","AT1G68130","AT1G68130","AT1G68130","C2H2","pos",4,0,3,1,1,0,5,0,0,1,1,3,1,1,3,0,2,1,0,0,1,1,1
"98","SSF57889;SSF57889;SSF57889;SSF57889","DD","AT3G06990","AT3G06990","AT3G06990",NA,"pos",2,1,2,0,1,2,4,0,3,1,1,3,1,0,2,1,1,2,0,1,0,0,1
"99","Band 7 protein;NOVEL00151","UU","AT1G69840","AT1G69840","AT1G69840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Helix-loop-helix DNA-binding","UU","AT5G57150","AT5G57150","AT5G57150","bHLH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Protein of unknown function DUF760","UU","AT3G17800","AT3G17800","AT3G17800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Homeodomain-like;Homeodomain-like","DD","AT3G46130","AT3G46130","AT3G46130","MYB","pos",1,2,4,2,0,1,1,1,0,1,0,6,0,1,5,1,1,1,0,1,0,1,1
"103","WD40/YVTN repeat-like-containing domain","DD","AT5G23730","AT5G23730","AT5G23730",NA,"pos",0,1,3,0,1,1,2,0,3,1,0,4,1,0,1,3,1,0,1,1,0,0,0
"104","Homeodomain-like","DD","AT2G35640","AT2G35640","AT2G35640","Trihelix","pos",2,0,3,1,0,2,1,0,2,0,0,4,2,1,2,2,0,1,1,0,1,1,1
"105","Homeodomain-like;Homeodomain-like","DD","AT3G48920","AT3G48920","AT3G48920","MYB","pos",3,1,4,1,1,1,6,1,4,0,0,7,1,1,2,1,1,2,1,1,1,1,0
"106","SSF56300","UU","AT3G17790","AT3G17790","AT3G17790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","DNA-binding, integrase-type","UU","AT3G11020","AT3G11020","AT3G11020","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","NUDIX hydrolase domain-like","UU","AT4G12720","AT4G12720","AT4G12720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","No apical meristem (NAM) protein","DD","AT3G12977","AT3G12977","AT3G12977","NAC","pos",1,1,3,1,0,2,3,1,2,1,0,4,1,1,1,0,1,1,0,1,0,0,0
"110","Protein of unknown function DUF1262;NOVEL00054","DD","AT1G13530","AT1G13530","AT1G13530",NA,"pos",3,0,3,0,0,0,0,0,0,1,1,3,0,0,2,2,1,2,0,1,0,0,1
"111","Homeodomain-like","DD","AT5G59340","AT5G59340","AT5G59340","WOX","pos",3,2,6,1,0,2,3,1,1,1,0,5,0,0,0,2,2,2,0,1,0,0,0
"112","SSF51735","DD","AT1G24470","AT1G24470","AT1G24470",NA,"pos",3,0,5,2,0,1,5,0,2,1,1,4,1,0,4,0,1,1,1,0,1,0,0
"113","DNA-binding, integrase-type","UU","AT4G28140","AT4G28140","AT4G28140","ERF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Armadillo-type fold;Armadillo-type fold;Armadillo-type fold;Armadillo-type fold;C2 calcium/lipid-binding domain, CaLB","UU","AT1G77460","AT1G77460","AT1G77460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Helix-loop-helix DNA-binding domain","UU","AT3G28857","AT3G28857","AT3G28857","bHLH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Protein of unknown function DUF584","UU","AT1G29640","AT1G29640","AT1G29640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Transcriptional factor B3;Auxin response factor;AUX/IAA protein","DD","AT4G30080","AT4G30080","AT4G30080","ARF","pos",3,2,4,1,1,3,3,0,1,1,0,6,1,2,1,0,1,0,1,0,0,0,0
"118","SSF46785","UU","AT1G32330","AT1G32330","AT1G32330","HSF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","NO_DESCRIPTION","UU","AT3G44716","AT3G44716","AT3G44716",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","DNA-binding, integrase-type","DD","AT3G16280","AT3G16280","AT3G16280","ERF","pos",2,2,2,1,1,2,4,0,0,0,0,3,1,1,1,2,1,0,1,1,0,1,1
"121","NO_DESCRIPTION","DD","AT5G21280","AT5G21280","AT5G21280",NA,"pos",3,1,7,2,1,2,1,0,0,1,1,6,1,0,6,1,0,1,1,1,1,0,0
"122","Transcription factor, TCP","DD","AT3G47620","AT3G47620","AT3G47620","TCP","pos",1,1,5,2,1,2,4,1,2,1,0,2,1,0,4,3,0,1,0,1,1,0,1
"123","Calreticulin/calnexin","UU","AT1G56340","AT1G56340","AT1G56340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
